"Date","Close","Holding","Corp","Value"
"01-Jun-22",1394.85,20,"Andromeda",27897
"02-Jun-22",1385.1,20,"Andromeda",27702
"03-Jun-22",1380.3,20,"Andromeda",27606
"06-Jun-22",1378.45,20,"Andromeda",27569
"07-Jun-22",1362.6,20,"Andromeda",27252
"08-Jun-22",1367.4,20,"Andromeda",27348
"09-Jun-22",1377.7,20,"Andromeda",27554
"10-Jun-22",1351.1,20,"Andromeda",27022
"13-Jun-22",1326.6,20,"Andromeda",26532
"14-Jun-22",1312,20,"Andromeda",26240
"01-Jun-22",468.3,50,"Canis Major",23415
"02-Jun-22",469.85,50,"Canis Major",23492.5
"03-Jun-22",464.5,50,"Canis Major",23225
"06-Jun-22",463.7,50,"Canis Major",23185
"07-Jun-22",463.4,50,"Canis Major",23170
"08-Jun-22",471.3,50,"Canis Major",23565
"09-Jun-22",466.95,50,"Canis Major",23347.5
"10-Jun-22",461.85,50,"Canis Major",23092.5
"13-Jun-22",445.85,50,"Canis Major",22292.5
"14-Jun-22",448.1,50,"Canis Major",22405
